#{"t_start": 1624603073.4077435, "env_id": null}
r,l,t
0.034544,999,27.01406
0.059474,999,30.769265
0.108804,999,34.557183
0.001873,999,38.34722
0.110491,999,42.159422
0.149045,999,45.991417
-0.039044,999,49.778579
0.109647,999,53.588942
0.049393,999,57.443198
0.093301,999,61.236557
-0.006792,999,65.028846
0.03343,999,68.803522
-0.041082,999,72.584076
0.042173,999,76.480755
0.163103,999,80.289932
0.208998,999,84.115737
0.050848,999,87.998384
0.118244,999,91.853336
0.142436,999,95.815537
0.145109,999,99.652051
0.015898,999,103.822838
0.011711,999,107.749222
0.088653,999,112.279503
0.072113,999,116.085752
0.207202,999,119.887583
0.110653,999,123.687848
0.074175,999,127.456469
0.06106,999,131.190786
0.148094,999,134.930562
0.087547,999,138.655865
0.257895,999,142.374009
0.160173,999,146.083085
0.182548,999,149.781274
0.045572,999,153.48278
0.215722,999,157.198959
0.190569,999,160.925891
-0.007104,999,164.869923
0.167686,999,168.869544
0.119294,999,172.694484
0.054275,999,176.664213
0.127434,999,180.822863
0.216386,999,185.227182
0.092492,999,189.261044
0.231261,999,193.287249
0.191494,999,197.336854
0.228105,999,201.419169
0.168482,999,205.558697
0.193336,999,209.421277
0.274248,999,213.948167
0.204496,999,218.005662
0.30647,999,241.411365
0.289436,999,245.315682
0.248317,999,249.238939
0.13953,999,252.956637
0.157827,999,256.769617
0.259155,999,260.585278
0.140102,999,264.31154
0.303031,999,268.155022
0.18809,999,271.909006
0.239491,999,275.650946
0.106918,999,279.365303
0.187115,999,283.085786
0.230961,999,286.88003
0.25986,999,290.953907
0.231281,999,295.073395
0.230743,999,298.811998
0.204525,999,302.567266
0.291271,999,306.376443
0.358895,999,310.491234
0.234597,999,314.86761
0.322691,999,319.237427
0.143733,999,323.040458
0.276431,999,327.480068
0.212753,999,331.732023
0.242632,999,336.004903
0.533647,999,340.055465
0.160171,999,343.913821
0.381179,999,347.775222
0.254442,999,351.856273
0.401697,999,355.580801
0.205936,999,359.294148
0.340631,999,363.728079
0.402524,999,367.669864
0.226827,999,371.579118
0.422711,999,375.480178
0.280999,999,379.260095
0.38461,999,383.095832
0.434719,999,387.011652
0.395445,999,390.759161
0.287519,999,394.568324
0.364062,999,398.415525
0.333459,999,402.189757
0.494259,999,405.948615
0.342886,999,409.710832
0.338795,999,413.463089
0.300542,999,417.4226
0.386043,999,421.355304
0.402974,999,425.350345
0.302472,999,429.158296
0.413346,999,433.06867
0.305912,999,456.181139
0.264488,999,459.974378
0.479568,999,463.818025
0.402701,999,468.003375
0.463785,999,471.749053
0.392401,999,475.562361
0.333008,999,479.355359
0.359968,999,483.15996
0.497203,999,487.165991
0.328706,999,491.192495
0.366762,999,495.691523
0.285508,999,500.053339
0.426033,999,504.292769
0.278709,999,508.223128
0.356316,999,511.928874
0.219282,999,515.804806
0.365142,999,519.600334
0.320973,999,523.597373
0.448263,999,527.45594
0.417117,999,531.93153
0.361306,999,535.830038
0.316894,999,540.259594
0.453759,999,544.867534
0.513262,999,548.980291
0.433279,999,552.789199
0.422065,999,556.543336
0.440765,999,560.41474
0.445927,999,564.740795
0.394324,999,569.240843
0.460309,999,573.111516
0.374734,999,576.856966
0.329677,999,580.604922
0.380028,999,584.348708
0.430851,999,588.088077
0.382696,999,592.148923
0.427142,999,595.895719
0.501628,999,600.100801
0.353824,999,603.83594
0.528157,999,607.575502
0.473162,999,611.322332
0.408401,999,615.213136
0.510418,999,619.14887
0.497975,999,622.990514
0.483513,999,626.914506
0.473233,999,630.776043
0.509875,999,634.668707
0.432787,999,639.049794
0.487062,999,643.425656
0.471683,999,647.844674
0.514084,999,651.680346
0.608039,999,674.88648
0.427187,999,678.747592
0.528373,999,682.801522
0.58137,999,686.684286
0.616754,999,690.48919
0.548038,999,694.364014
0.484449,999,698.09236
0.537794,999,701.859354
0.447047,999,705.774465
0.48544,999,709.641088
0.539629,999,713.467197
0.554436,999,718.096456
0.46935,999,721.890323
0.535656,999,725.746913
0.515337,999,729.559272
0.555093,999,733.356123
0.608793,999,737.14799
0.489069,999,741.082948
0.645486,999,744.969465
0.446611,999,749.071123
0.588751,999,752.880068
0.503407,999,756.643022
0.533898,999,760.42738
0.507112,999,764.281774
0.558942,999,767.987446
0.625755,999,771.697103
0.61591,999,775.398255
0.574818,999,779.113
0.598105,999,782.814391
0.598792,999,786.524829
0.626863,999,790.230274
0.526947,999,793.935217
0.594438,999,797.637281
0.574856,999,801.335243
0.508482,999,805.030046
0.554803,999,808.744258
0.657228,999,812.476523
0.605758,999,816.205465
0.592967,999,819.926847
0.563299,999,823.635309
0.595166,999,827.339217
0.661291,999,831.035158
0.614991,999,834.770408
0.613199,999,838.56089
0.546069,999,842.345885
0.560815,999,846.125933
0.586254,999,849.920474
0.639787,999,853.729307
0.622668,999,857.528042
0.652832,999,861.319473
0.582923,999,884.293332
0.49571,999,888.062621
0.625256,999,891.76831
0.629,999,895.464822
0.633704,999,899.166234
0.659356,999,902.881045
0.644119,999,906.618574
0.692018,999,910.359186
0.53813,999,914.10524
0.730088,999,917.868445
0.639014,999,921.624743
0.711858,999,925.383699
0.646118,999,929.158044
0.666954,999,932.929804
0.613064,999,936.689037
0.694055,999,940.461858
0.590556,999,944.228996
0.680847,999,947.999549
0.677573,999,951.781696
0.642295,999,955.548073
0.516329,999,959.316446
0.642752,999,963.085242
0.500724,999,966.858683
0.683419,999,970.643137
0.590654,999,974.425275
0.692348,999,978.210879
0.593307,999,981.993855
0.600525,999,985.761141
0.617649,999,989.557278
0.670559,999,993.353071
0.673165,999,997.146076
0.664529,999,1000.931094
0.589283,999,1004.723927
0.584085,999,1008.529203
0.684524,999,1012.32218
0.560392,999,1016.109205
0.652894,999,1019.908217
0.610184,999,1023.704698
0.713694,999,1027.496966
0.528345,999,1031.294913
0.750782,999,1035.071958
0.737076,999,1038.874478
0.651604,999,1042.674763
0.667845,999,1046.479206
0.706222,999,1050.269473
0.668403,999,1054.083288
0.685259,999,1057.874536
0.677243,999,1061.592982
0.655834,999,1065.305863
0.588951,999,1069.022079
0.738469,999,1091.757148
0.592299,999,1095.519881
0.705436,999,1099.231759
0.692297,999,1102.929298
0.629881,999,1106.620304
0.587753,999,1110.319509
0.64464,999,1114.017839
0.720468,999,1117.713155
0.779283,999,1121.413547
0.6762,999,1125.113198
0.72981,999,1128.820085
0.728496,999,1132.518753
0.742587,999,1136.222223
0.49994,999,1139.918034
0.731275,999,1143.626149
0.721598,999,1147.336666
0.668386,999,1151.042083
0.682671,999,1154.73422
0.734398,999,1158.43389
0.724816,999,1162.132957
0.675017,999,1165.832006
0.674399,999,1169.571166
0.687203,999,1173.277166
0.714427,999,1176.976866
0.67413,999,1180.67168
0.650718,999,1184.374698
0.69452,999,1188.065594
0.718,999,1191.771422
0.654912,999,1195.472654
0.566233,999,1199.174308
0.84377,999,1202.868986
0.748274,999,1206.562656
0.639719,999,1210.267957
0.627589,999,1213.971713
0.681114,999,1217.684829
0.755465,999,1221.397933
0.744903,999,1225.144559
0.69138,999,1228.929121
0.81606,999,1232.705408
0.729095,999,1236.476143
0.745769,999,1240.271146
0.691474,999,1244.036391
