#{"t_start": 1624761614.6802588, "env_id": null}
r,l,t
0.122901,999,27.680586
0.180643,999,33.710588
0.401004,999,39.163218
0.544185,999,44.637374
0.676002,999,50.080764
0.621985,999,55.616748
0.694438,999,61.116058
0.771438,999,66.645082
0.764487,999,72.184228
0.760496,999,77.727179
0.804435,999,83.206912
0.820322,999,88.649266
0.855918,999,94.079323
0.83455,999,99.510542
0.798665,999,104.955578
0.726091,999,110.441429
0.771285,999,115.898509
0.734826,999,121.347917
0.553155,999,126.778616
0.79957,999,132.344943
0.858646,999,137.978645
0.721182,999,143.518863
0.70405,999,149.056823
0.853074,999,154.552449
0.801526,999,160.054707
0.426456,999,165.551112
0.757751,999,171.045002
0.717817,999,176.532388
0.742949,999,182.041872
0.706218,999,187.547844
0.775267,999,193.050369
0.777977,999,198.527313
0.795768,999,203.990027
0.671345,999,209.435838
0.616995,999,214.890855
0.539472,999,220.364999
0.774761,999,225.877413
0.855834,999,231.331163
0.830119,999,236.787856
0.456616,999,242.249815
0.746992,999,247.713444
0.533083,999,253.155372
0.848066,999,258.625169
0.737539,999,264.074781
0.769947,999,269.528224
0.785842,999,274.982288
0.726104,999,280.422366
0.896823,999,285.947428
0.830561,999,291.411552
0.217291,999,296.865522
0.794734,999,321.317667
0.723669,999,326.774792
0.020126,999,332.234033
0.84178,999,337.705243
0.601187,999,343.15262
0.529382,999,348.68192
0.556023,999,354.228211
0.665541,999,359.771047
0.882926,999,365.304032
0.702144,999,370.85342
0.70447,999,376.354547
0.911817,999,381.805584
0.784673,999,387.259227
0.655256,999,392.726826
0.86692,999,398.209521
0.780944,999,403.7259
0.334011,999,409.18345
0.808256,999,414.719202
0.903356,999,420.264651
0.697868,999,425.781668
0.817023,999,431.240468
0.844899,999,436.695772
0.669459,999,442.14752
0.868381,999,447.606416
0.684601,999,453.070124
0.647266,999,458.534941
0.78549,999,463.97661
0.717985,999,469.452261
0.946472,999,474.920652
0.667756,999,480.371294
0.876159,999,485.869542
0.644878,999,491.40423
0.742679,999,496.944534
0.795546,999,502.489861
0.682951,999,508.024183
0.343249,999,513.589072
0.796223,999,519.141912
0.76164,999,524.689245
0.698779,999,530.222194
0.885768,999,535.760053
0.811563,999,541.296408
0.838422,999,546.852353
0.829363,999,552.408917
0.787439,999,557.911179
0.753331,999,563.366423
0.898032,999,568.831343
0.826439,999,574.284146
0.546453,999,579.724446
0.878452,999,585.182775
0.636159,999,590.671791
0.631182,999,615.057224
0.926259,999,620.57317
0.636807,999,626.103512
0.770346,999,631.610299
0.652064,999,637.113002
0.823806,999,642.641263
0.698141,999,648.111884
0.693785,999,653.578853
0.675699,999,659.103835
0.862656,999,664.635553
0.716197,999,670.173832
0.534674,999,675.713497
0.676836,999,681.24631
0.698723,999,686.798217
0.717736,999,692.325119
0.445867,999,697.870828
0.851582,999,703.418234
0.723107,999,708.971836
0.697206,999,714.527784
0.723047,999,720.090183
0.742758,999,725.653979
0.875565,999,731.195776
0.813961,999,736.737847
0.649246,999,742.277463
0.377259,999,747.819203
0.595857,999,753.388926
0.829349,999,758.927872
0.822714,999,764.485682
0.758644,999,770.038272
0.561489,999,775.595739
0.771363,999,781.147141
0.871804,999,786.703043
0.754596,999,792.270542
0.795607,999,797.825592
0.65506,999,803.373401
0.862802,999,808.92503
0.811726,999,814.475205
0.725667,999,820.028808
0.808192,999,825.593329
0.843584,999,831.145675
0.127323,999,836.618771
0.732972,999,842.099548
0.596419,999,847.646892
0.818433,999,853.229042
0.710311,999,858.815213
0.490515,999,864.428307
0.722496,999,869.937699
0.895675,999,875.42036
0.514373,999,880.908318
0.594793,999,886.386901
0.865374,999,910.794403
0.816273,999,916.330396
0.870615,999,921.867636
0.819658,999,927.366472
0.726506,999,932.901483
0.756585,999,938.430457
0.868347,999,943.96313
0.786005,999,949.433429
0.576658,999,954.908107
0.795854,999,960.385896
0.593688,999,965.849428
0.482368,999,971.321135
0.856127,999,976.803351
0.853627,999,982.276931
0.745111,999,987.743839
0.750251,999,993.226847
0.822417,999,998.703148
0.86447,999,1004.16879
0.708714,999,1009.642122
0.685785,999,1015.106556
0.782877,999,1020.579526
0.712517,999,1026.050986
0.581175,999,1031.551178
0.83133,999,1037.024557
0.544426,999,1042.570911
0.762376,999,1048.099523
0.885109,999,1053.586429
0.492453,999,1059.093806
0.699788,999,1064.570903
0.868543,999,1070.072391
0.699494,999,1075.578445
0.671389,999,1081.053202
0.877601,999,1086.536569
0.63358,999,1092.02676
0.900103,999,1097.528284
0.681438,999,1102.99603
0.791442,999,1108.46623
0.667102,999,1113.979503
0.833753,999,1119.530994
0.500709,999,1125.173124
0.577806,999,1130.73993
0.759092,999,1136.304761
0.866643,999,1141.871737
0.759662,999,1147.422369
0.195237,999,1153.041848
0.678341,999,1158.561291
0.469139,999,1164.020883
0.784022,999,1169.482545
0.883162,999,1174.991998
0.794,999,1180.457494
0.561251,999,1204.866513
0.766861,999,1208.633267
0.802117,999,1212.331761
0.638767,999,1216.027584
0.894214,999,1219.723779
0.773926,999,1223.416803
0.954916,999,1227.118198
0.831398,999,1230.809355
0.790044,999,1234.495929
0.733925,999,1238.181547
0.651416,999,1241.885565
0.886545,999,1245.572333
0.799337,999,1249.276896
0.660422,999,1252.975193
0.814639,999,1256.664433
0.753407,999,1260.363236
0.769277,999,1264.052517
0.729992,999,1267.760828
0.722705,999,1271.468656
0.852032,999,1275.170277
0.769334,999,1278.861191
0.757633,999,1282.571181
0.896916,999,1286.284603
0.628128,999,1290.037129
0.742951,999,1293.781501
0.779351,999,1297.53172
0.746982,999,1301.277011
0.87746,999,1305.008195
0.811125,999,1308.746856
0.856075,999,1312.47915
0.679587,999,1316.212441
0.790589,999,1319.982603
0.865259,999,1323.75132
0.613735,999,1327.508298
0.792291,999,1331.268334
0.897117,999,1334.977585
0.786128,999,1338.689284
0.586994,999,1342.400677
0.731955,999,1346.107877
0.913047,999,1349.804816
0.807087,999,1353.496263
0.924039,999,1357.199687
0.800427,999,1360.904084
0.765537,999,1364.612938
0.692975,999,1368.3133
0.651668,999,1372.007584
0.598261,999,1375.711489
0.72273,999,1379.42741
0.726217,999,1383.154973
0.820527,999,1386.86904
0.772986,999,1409.582348
0.80622,999,1413.319603
0.685022,999,1417.048298
0.668961,999,1420.763884
0.438197,999,1424.466077
0.569825,999,1428.17957
0.808692,999,1431.884685
0.864632,999,1435.583338
0.819342,999,1439.289404
0.677655,999,1443.004384
0.821171,999,1446.716131
0.640685,999,1450.413183
0.621122,999,1454.114403
0.91873,999,1457.815308
0.787998,999,1461.5235
0.84543,999,1465.232222
0.727663,999,1468.935539
