#{"t_start": 1624517272.3070939, "env_id": null}
r,l,t
0.0,999,25.451013
0.0,999,30.720761
0.0,999,35.498934
0.0,999,40.270148
0.0,999,45.026589
0.0,999,49.746464
0.0,999,54.458477
0.0,999,59.126249
0.0,999,63.768714
0.0,999,68.44745
0.0,999,73.107318
0.0,999,77.77728
0.0,999,82.419715
0.0,999,87.083504
0.0,999,91.741873
0.0,999,96.393991
0.0,999,101.043231
0.0,999,105.68379
0.0,999,110.335687
0.0,999,114.99999
0.0,999,119.651544
0.0,999,124.305158
0.0,999,128.951399
0.0,999,133.621128
0.0,999,138.303157
0.0,999,143.203676
0.0,999,148.223827
0.0,999,153.136914
0.0,999,158.131457
0.0,999,162.951935
0.0,999,167.811694
0.0,999,172.682739
0.0,999,177.528183
0.0,999,182.475182
0.0,999,187.250532
0.0,999,192.155263
