#{"t_start": 1624517660.6772032, "env_id": null}
r,l,t
0.041189,999,26.308529
0.056484,999,29.732204
0.054117,999,32.779734
0.032196,999,35.822127
0.044673,999,38.962921
0.058968,999,42.779256
0.046247,999,45.929642
0.059567,999,49.130946
0.047668,999,52.138302
0.033242,999,55.129788
0.049105,999,58.161923
0.045629,999,61.160839
0.053104,999,64.329818
0.066519,999,67.413758
0.049604,999,70.417928
0.057882,999,73.433087
0.054597,999,76.450317
0.035555,999,79.564593
0.059573,999,82.573614
0.044488,999,85.591863
0.041358,999,88.656467
0.071922,999,91.780392
0.073119,999,94.784477
0.079277,999,97.851084
0.049592,999,100.921614
0.066888,999,103.96943
0.061707,999,107.034616
0.066039,999,110.101371
0.085253,999,113.225626
0.07625,999,116.300812
0.062692,999,119.403836
0.050252,999,122.476405
0.064665,999,125.549847
0.041769,999,128.607666
0.064393,999,131.630016
0.059324,999,134.665703
0.058162,999,137.753302
0.059524,999,141.241616
0.075517,999,144.263644
0.071885,999,147.272557
0.096252,999,150.274348
0.091914,999,153.280575
0.076423,999,156.273769
0.071274,999,159.265363
0.084139,999,162.269554
0.075418,999,165.258285
0.052294,999,168.259197
0.083362,999,171.262829
0.054838,999,174.265152
0.064816,999,177.293809
0.054759,999,200.251474
0.081255,999,203.4362
0.05871,999,206.561567
